geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon
36047057300,573,057300,3057300,3,Brooklyn,Greenpoint,BK0101,I,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),1831149.76805,5625.86880726,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-8cjb-bkc7.sbyy,40.728040955525216,-73.94883809772112
36047057500,575,057500,3057500,3,Brooklyn,Greenpoint,BK0101,I,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),1952560.39636,6995.23911263,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-8zyx.hjw8_qv98,40.73248173837817,-73.95309084045853
36061004400,44,004400,1004400,1,Manhattan,Stuyvesant Town-Peter Cooper Village,MN0601,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),4277834.69158,9684.76317009,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-va78-qb5b-ug9e,40.729975080313366,-73.97368217347568
36061002400,24,002400,1002400,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1863566.81968,9497.30750838,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-wf6i_mxrj~r3eg,40.72215102876046,-73.97018352673972
36085000800,8,000800,5000800,5,Staten Island,Rosebank-Shore Acres-Park Hill,SI0103,E,SI01,SI01 North Shore (CD 1 Equivalent),8571396.843,14791.3165139,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-j8m7~wa6w-a6qy,40.612462371110844,-74.06833502766723
36085002001,20.01,002001,5002001,5,Staten Island,Rosebank-Shore Acres-Park Hill,SI0103,I,SI01,SI01 North Shore (CD 1 Equivalent),5511602.06108,10939.8256366,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ftvi-yiik-z5re,40.60622697677186,-74.07049437606163
36081108500,1085,108500,4108500,4,Queens,Auburndale,QN1101,E,QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4792436.83521,9302.98521842,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-madg_9akk.zntg,40.77275246229032,-73.78887247222131
36081113900,1139,113900,4113900,4,Queens,Auburndale,QN1101,E,QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4132815.89745,10111.0299347,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-kjav~abjx_vprx,40.7639771871087,-73.78964847505443
36081010300,103,010300,4010300,4,Queens,Astoria (North)-Ditmars-Steinway,QN0101,E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),2695889.53782,9276.26165095,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-wr26.xjs6_qdzt,40.7824413854671,-73.91543989540271
36081010500,105,010500,4010500,4,Queens,Astoria (North)-Ditmars-Steinway,QN0101,E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),2131456.34231,6626.64144139,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-jvmj_t3rx~t3kh,40.783334468697795,-73.91347740569425
36061020500,205,020500,1020500,1,Manhattan,Morningside Heights,MN0901,I,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),2977095.86904,7148.86466595,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-vsfk~itxz-ti5w,40.81045541408187,-73.96615726845305
36061021100,211,021100,1021100,1,Manhattan,Morningside Heights,MN0901,E,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),3738242.61347,7629.11237147,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-k98u~698b~yvtq,40.81419481948429,-73.96037212522461
36005007100,71,007100,2007100,2,Bronx,Melrose,BX0102,I,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),2841852.30796,8603.54219177,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-h7en~dj5r_pyke,40.82089181584836,-73.91147396541203
36005007500,75,007500,2007500,2,Bronx,Melrose,BX0102,E,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),2458741.05682,7309.73011269,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-nh88-mits-6g6e,40.81862045063983,-73.90842887234584
36081030904,309.04,030904,4030904,4,Queens,Jackson Heights,QN0301,I,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),4460641.76747,9643.39781087,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-icnz-wb9f-jzgg,40.76439993473185,-73.89246864089249
36005041400,414,041400,2041400,2,Bronx,Wakefield-Woodlawn,BX1203,E,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),5946470.24737,15050.2192391,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3fy5-hr5j~yhnm,40.90483981009603,-73.85548753382768
