geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname_x,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon,Year,ntaname_y,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank
36061002602,26.02,2602,1002602,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1114857.11794,4491.20321958,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-tyi4~hyq3-ptun,40.723829673227605,-73.9784319462433,2024.0,East Village,"737,116.123057523",15.86%,5.34%,0.12,5.30790598861,114.0
36061002602,26.02,2602,1002602,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1114857.11794,4491.20321958,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-tyi4~hyq3-ptun,40.723829673227605,-73.9784319462433,2023.0,East Village,"842,491.8974",15.03%,5.53%,0.11,5.44616669879,91.0
36061002800,28.0,2800,1002800,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1973678.51036,5627.55508949,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-enbr_7p7f~ndvr,40.72661162050707,-73.9762723932305,2025.0,East Village,"1,537,743.68842889",20.68%,555.20%,0.36,6.8545335246,41.0
36061002800,28.0,2800,1002800,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1973678.51036,5627.55508949,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-enbr_7p7f~ndvr,40.72661162050707,-73.9762723932305,2024.0,East Village,"737,116.123057523",15.86%,5.34%,0.12,5.30790598861,114.0
36061002800,28.0,2800,1002800,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1973678.51036,5627.55508949,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-enbr_7p7f~ndvr,40.72661162050707,-73.9762723932305,2023.0,East Village,"842,491.8974",15.03%,5.53%,0.11,5.44616669879,91.0
36061003400,34.0,3400,1003400,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1718451.57484,5503.30704443,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ipcb.unzy~x84y,40.72913490097893,-73.98160997908211,2025.0,East Village,"1,537,743.68842889",20.68%,555.20%,0.36,6.8545335246,41.0
36061003400,34.0,3400,1003400,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1718451.57484,5503.30704443,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ipcb.unzy~x84y,40.72913490097893,-73.98160997908211,2024.0,East Village,"737,116.123057523",15.86%,5.34%,0.12,5.30790598861,114.0
36061003400,34.0,3400,1003400,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1718451.57484,5503.30704443,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ipcb.unzy~x84y,40.72913490097893,-73.98160997908211,2023.0,East Village,"842,491.8974",15.03%,5.53%,0.11,5.44616669879,91.0
36061003601,36.01,3601,1003601,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1082296.16558,4201.29530909,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-eddj-bprh.hdn5,40.72253054033678,-73.9911176912672,2025.0,Lower East Side,"740,167.495815",20.96%,647.31%,0.47,6.19497157586,90.0
36061003601,36.01,3601,1003601,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1082296.16558,4201.29530909,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-eddj-bprh.hdn5,40.72253054033678,-73.9911176912672,2024.0,Lower East Side,"815,973.731548145",23.39%,5.32%,0.13,5.76797794246,72.0
