nta2020,geoid,Year,ntaname,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count
BK1703,36047081400,2025-01-01,East Flatbush-Rugby,"-985,286.68582102",14.25%,863.97%,0.54,4.51252755833,177.0,9
BK1704,36047088200,2025-01-01,East Flatbush-Remsen Village,"-979,114.69227613",18.82%,1183.02%,0.54,4.73390906028,174.0,6
BK1801,36047065000,2025-01-01,Flatlands,"-2,330,039.34529109",12.64%,792.73%,0.52,2.34484180104,192.0,8
BK1802,36047063600,2025-01-01,Marine Park-Mill Basin-Bergen Beach,"-200,353.596394514",9.83%,386.15%,0.54,4.831323691,170.0,1
BK1803,36047095000,2025-01-01,Canarsie,"-3,437,224.58032827",12.20%,755.21%,0.52,1.78848947571,196.0,4
BX0101,36005002300,2025-01-01,Mott Haven-Port Morris,"611,663.47133657",32.65%,1442.92%,0.53,6.32951890259,74.0,7
BX0102,36005006500,2025-01-01,Melrose,"-1,183,933.94646053",30.77%,1521.43%,0.51,4.47628077367,178.0,7
BX0201,36005011702,2025-01-01,Hunts Point,"-405,519.218561253",27.03%,1183.40%,0.56,5.66840365896,136.0,2
BX0202,36005008700,2025-01-01,Longwood,"-797,194.90866576",29.78%,1472.33%,0.55,4.94789207872,167.0,6
BX0301,36005013300,2025-01-01,Morrisania,"-2,098,856.93601668",29.98%,1540.20%,0.51,3.43217077436,185.0,4
BX0302,36005014702,2025-01-01,Claremont Village-Claremont (East),"32,152.70121665",33.36%,1423.32%,0.5,6.22782931459,84.0,2
BX0303,36005012101,2025-01-01,Crotona Park East,"-333,492.64867191",27.24%,1308.90%,0.55,5.62879423578,141.0,3
BX0401,36005017500,2025-01-01,Concourse-Concourse Village,"-102,142.62426294",26.29%,1053.82%,0.57,5.13309591628,161.0,3
BX0402,36005018900,2025-01-01,Highbridge,"839,986.799227597",25.85%,845.52%,0.52,6.60961794332,56.0,5
BX0403,36005017902,2025-01-01,Mount Eden-Claremont (West),"1,696,696.57636403",27.78%,1371.32%,0.6,7.9513129831,9.0,3
BX0501,36005021501,2025-01-01,University Heights (South)-Morris Heights,"1,967,725.99158661",28.18%,1167.44%,0.58,8.0248369809,6.0,3
BX0502,36005023301,2025-01-01,Mount Hope,"922,439.79933915",27.90%,1444.53%,0.62,7.12218616838,30.0,4
BX0503,36005023900,2025-01-01,Fordham Heights,"623,158.3915258",28.65%,1378.09%,0.66,6.88989591775,39.0,3
BX0601,36005035900,2025-01-01,West Farms,"954,192.677655184",34.94%,1809.21%,0.55,7.90384229505,10.0,2
BX0602,36005036501,2025-01-01,Tremont,"-113,652.81465869",28.96%,1214.11%,0.53,5.71196328534,134.0,3
BX0603,36005039100,2025-01-01,Belmont,"369,930.98008093",30.58%,1361.64%,0.57,6.40388300841,68.0,2
BX0701,36005025300,2025-01-01,University Heights (North)-Fordham,"538,924.72967146",27.95%,1607.34%,0.62,6.8491279006,42.0,2
BX0702,36005040302,2025-01-01,Bedford Park,"685,490.71897698",25.64%,1355.23%,0.61,6.72406102426,50.0,1
BX0703,36005041900,2025-01-01,Norwood,"330,347.81439255",24.68%,912.92%,0.59,6.00279582663,107.0,3
BX0801,36005026701,2025-01-01,Kingsbridge Heights-Van Cortlandt Village,"1,444,845.00693503",22.53%,1039.67%,0.59,7.63937179217,14.0,1
BX0802,36005028700,2025-01-01,Kingsbridge-Marble Hill,"1,149,186.17394613",24.96%,805.29%,0.55,7.10316863077,33.0,0
BX0803,36005030100,2025-01-01,Riverdale-Spuyten Duyvil,"1,208,992.72111143",12.22%,553.17%,0.58,6.7181930024,51.0,1
BX0901,36005004400,2025-01-01,Soundview-Bruckner-Bronx River,"2,780,543.96088838",24.61%,937.80%,0.62,8.780491261,2.0,4
BX0902,36005001600,2025-01-01,Soundview-Clason Point,"600,555.36026617",24.24%,1308.76%,0.52,6.74912936841,47.0,3
BX0903,36005004001,2025-01-01,Castle Hill-Unionport,"347,937.7932147",21.53%,875.87%,0.55,6.05232799733,99.0,3
BX0904,36005021002,2025-01-01,Parkchester,"1,083,638.59857437",21.21%,1080.84%,0.55,7.0713162223,34.0,4
BX1001,36005020200,2025-01-01,Westchester Square,"-89,959.744097822",21.31%,670.60%,0.57,5.33884183574,155.0,1
BX1002,36005013000,2025-01-01,Throgs Neck-Schuylerville,"1,379,134.20466646",16.59%,746.25%,0.47,6.98213524405,37.0,1
BX1003,36005026601,2025-01-01,Pelham Bay-Country Club-City Island,"1,022,815.339499",17.73%,820.67%,0.54,6.8081756539,45.0,0
BX1004,36005046204,2025-01-01,Co-op City,"779,628.418676589",13.86%,647.90%,0.52,6.303762079,77.0,2
BX1101,36005022404,2025-01-01,Pelham Parkway-Van Nest,"1,090,394.88704868",20.67%,1014.34%,0.52,7.04081411301,36.0,1
BX1102,36005024400,2025-01-01,Morris Park,"483,336.881360278",16.86%,731.13%,0.52,6.09602750365,95.0,0
BX1103,36005031200,2025-01-01,Pelham Gardens,"349,977.074157966",13.68%,707.02%,0.53,6.12151529149,91.0,2
BX1104,36005032400,2025-01-01,Allerton,"1,583,720.86586766",23.54%,1068.36%,0.58,7.83632189283,12.0,0
BX1201,36005033602,2025-01-01,Williamsbridge-Olinville,"401,560.88541765",20.26%,960.85%,0.56,6.02041669769,106.0,5
BX1202,36005038600,2025-01-01,Eastchester-Edenwald-Baychester,"-113,911.46111921",16.96%,983.48%,0.55,5.54066298083,146.0,5
BX1203,36005042000,2025-01-01,Wakefield-Woodlawn,"707,055.00738691",16.59%,909.85%,0.54,6.55528445854,59.0,1
MN0101,36061001502,2025-01-01,Financial District-Battery Park City,"497,711.076648413",11.08%,350.45%,0.34,5.62931347775,140.0,0
MN0102,36061002100,2025-01-01,Tribeca-Civic Center,"341,239.983171704",9.67%,265.50%,0.4,5.81368748784,127.0,0
MN0201,36061004100,2025-01-01,SoHo-Little Italy-Hudson Square,"436,692.290999102",14.18%,370.48%,0.4,5.92605839953,118.0,0
MN0202,36061005501,2025-01-01,Greenwich Village,"519,331.168772581",11.64%,574.42%,0.38,6.21272153495,87.0,1
