lambda,transported_lbs,unmet_lbs,pct_demand_met,avg_distance,total_lb_miles
1,11385857.57947593,85270056.36899607,11.77978368250268,0.6054987022026564,6894121.987836955
5,42843805.15222705,53812108.79624485,44.326108359047154,2.190614039156534,93854241.05735563
10,49481840.640701175,47174073.30777076,51.193805551391655,2.7940665126653843,138255553.91922823
20,50589455.30250756,46066458.64596434,52.33974129040588,2.9614804503397503,149819682.87171274
50,50589455.30250756,46066458.64596434,52.33974129040588,2.9614804503397507,149819682.87171277
100,50589455.30250756,46066458.64596434,52.33974129040588,2.961480451186517,149819682.91455022
