pantry_id,original_demand,received_step1,unmet_before_step2,supplied_step2,remaining_unmet,distance_miles,transport_cost,purchase_cost,total_cost,population
224,343236.2703133267,0.0,343236.2703133267,343236.2703133267,0.0,6.06141964615577,208049.9072150431,954196.8314710481,1162246.7386860913,3021.0
256,333600.44453771337,0.0,333600.44453771337,333600.44453771337,0.0,6.171655254385563,205886.69363965382,927409.2358148431,1133295.9294544968,1683.0
277,333600.44453771337,0.0,333600.44453771337,333600.44453771337,0.0,6.171655254385563,205886.69363965382,927409.2358148431,1133295.9294544968,1683.0
11,333600.44453771337,0.0,333600.44453771337,333600.44453771337,0.0,6.02375076390597,200952.59326234224,927409.2358148431,1128361.8290771854,1683.0
458,320172.34383741004,0.0,320172.34383741004,320172.34383741004,0.0,16.889218962860394,540746.0820922244,890079.1158679998,1430825.1979602242,2899.0
318,307623.545233825,0.0,307623.545233825,307623.545233825,0.0,7.097008694692657,218320.6975216636,855193.4557500334,1073514.153271697,3035.0
303,307623.545233825,0.0,307623.545233825,307623.545233825,0.0,7.093254283511369,218205.20299387828,855193.4557500334,1073398.6587439117,3035.0
254,307548.737685778,0.0,307548.737685778,307548.737685778,0.0,8.323163872836233,255977.85426426548,854985.4907664628,1110963.3450307283,2831.0
288,307548.737685778,0.0,307548.737685778,307548.737685778,0.0,7.954624207471136,244643.46337724806,854985.4907664628,1099628.954143711,4266.0
473,307548.737685778,0.0,307548.737685778,307548.737685778,0.0,8.16665342762107,251164.39527820924,854985.4907664628,1106149.886044672,4087.0
480,270909.6496435925,0.0,270909.6496435925,270909.6496435925,0.0,1.9822510493186944,53701.09372765711,753128.826009187,806829.9197368441,3414.0
189,270909.6496435925,0.0,270909.6496435925,270909.6496435925,0.0,1.9209143548349739,52039.42348636902,753128.826009187,805168.249495556,3414.0
74,246256.45783239967,0.0,246256.45783239967,246256.45783239967,0.0,11.324498969161365,278873.10028723394,684592.952774071,963466.053061305,3278.0
141,246256.45783239967,0.0,246256.45783239967,246256.45783239967,0.0,10.491388965203418,258357.22843129188,684592.952774071,942950.181205363,2064.0
40,246256.45783239967,0.0,246256.45783239967,246256.45783239967,0.0,10.354434714596785,254984.64156734385,684592.952774071,939577.594341415,2577.0
465,240736.6086921795,0.0,240736.6086921795,240736.6086921795,0.0,8.155368424365351,196329.5737116998,669247.772164259,865577.3458759587,2098.0
110,230609.9498347875,0.0,230609.9498347875,230609.9498347875,0.0,2.9529904602974626,68098.89819118039,641095.6605407092,709194.5587318896,4356.0
365,174508.743419115,0.0,174508.743419115,174508.743419115,0.0,16.02646538810941,279675.83363289124,485134.30670513964,764810.1403380309,4052.0
301,167997.3598455194,0.0,167997.3598455194,167997.3598455194,0.0,3.077331593799353,51698.35831274956,467032.66037054383,518731.0186832934,4340.0
185,167997.3598455194,0.0,167997.3598455194,167997.3598455194,0.0,3.02214972099204,50771.317418453575,467032.66037054383,517803.97778899746,4340.0
128,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.127385743782301,52095.96739544735,463092.1837745164,515188.1511699638,4412.0
327,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.3924065108142787,56510.68127136231,463092.1837745164,519602.8650458787,4235.0
491,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.243483290237306,54029.919421300285,463092.1837745164,517122.1031958167,1840.0
322,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.0793429693590606,51295.671232776665,463092.1837745164,514387.85500729305,4412.0
449,160946.9719280305,0.0,160946.9719280305,160946.9719280305,0.0,9.707775147534925,156243.7014153936,447432.5819599248,603676.2833753184,3532.0
34,160946.9719280305,0.0,160946.9719280305,160946.9719280305,0.0,10.080594285806983,162244.11255356413,447432.5819599248,609676.6945134889,4131.0
479,148033.499163,0.0,148033.499163,148033.499163,0.0,8.720485140324909,129092.39297212414,411533.12767313997,540625.5206452642,2932.0
403,148033.499163,0.0,148033.499163,148033.499163,0.0,8.537371074734041,126381.69138458621,411533.12767313997,537914.8190577262,4216.0
352,137784.0251362875,0.0,137784.0251362875,137784.0251362875,0.0,9.808034338487133,135139.0449831682,383039.5898788792,518178.63486204745,2867.0
371,137784.0251362875,0.0,137784.0251362875,137784.0251362875,0.0,9.514630510586242,131096.4089433103,383039.5898788792,514135.9988221895,2339.0
421,137784.0251362875,0.0,137784.0251362875,137784.0251362875,0.0,9.393394830812968,129425.9749483807,383039.5898788792,512465.5648272599,2962.0
208,137784.0251362875,0.0,137784.0251362875,137784.0251362875,0.0,10.353568306937303,142655.63158533192,383039.5898788792,525695.2214642111,3978.0
508,118194.13638521566,0.0,118194.13638521566,118194.13638521566,0.0,7.060649831040876,83452.74090982952,328579.69915089954,412032.44006072904,1912.0
462,115979.26440490001,0.0,115979.26440490001,115979.26440490001,0.0,1.742611357597598,20210.67833977936,322422.355045622,342633.03338540136,3874.0
174,115979.26440490001,0.0,115979.26440490001,115979.26440490001,0.0,1.7679645982473702,20504.723359863456,322422.355045622,342927.07840548543,3476.0
18,112634.94914898,0.0,112634.94914898,112634.94914898,0.0,3.9482024717433575,44470.558463469024,313125.15863416437,357595.7170976334,3717.0
109,110115.93813084999,0.0,110115.93813084999,110115.93813084999,0.0,4.331782494827604,47699.829319673554,306122.30800376297,353822.1373234365,4485.0
143,99500.51282840333,0.0,99500.51282840333,99500.51282840333,0.0,12.310997961563228,122495.06106049693,276611.4256629612,399106.48672345816,4274.0
99,99500.51282840333,0.0,99500.51282840333,99500.51282840333,0.0,12.408822742001426,123468.42264258959,276611.4256629612,400079.84830555075,3819.0
95,99500.51282840333,0.0,99500.51282840333,99500.51282840333,0.0,12.4506273453168,123884.38058943636,276611.4256629612,400495.8062523976,3819.0
60,99500.51282840333,0.0,99500.51282840333,99500.51282840333,0.0,12.841146924230891,127770.07042658479,276611.4256629612,404381.49608954607,3302.0
73,99500.51282840333,0.0,99500.51282840333,99500.51282840333,0.0,11.732832560107575,116742.28566604921,276611.4256629612,393353.71132901043,2111.0
164,80312.17708353,0.0,80312.17708353,80312.17708353,0.0,5.321133471094264,42735.181361562114,223267.85229221339,266003.0336537755,2818.0
467,80312.17708353,0.0,80312.17708353,80312.17708353,0.0,4.847318353022282,38929.86899481705,223267.85229221339,262197.72128703044,3191.0
494,80312.17708353,0.0,80312.17708353,80312.17708353,0.0,5.424055609427357,43561.77146152441,223267.85229221339,266829.6237537378,3635.0
272,80312.17708353,0.0,80312.17708353,80312.17708353,0.0,5.112706924485097,41061.26238954371,223267.85229221339,264329.1146817571,4287.0
442,80312.17708353,0.0,80312.17708353,80312.17708353,0.0,5.417761268560019,43511.22023968824,223267.85229221339,266779.07253190165,3635.0
510,73108.4129646075,0.0,73108.4129646075,73108.4129646075,0.0,16.007531676763033,117028.52363688279,203241.38804160885,320269.9116784916,3032.0
500,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,9.297034363871692,67551.7382855098,201993.26482376433,269545.00310927414,3558.0
140,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,8.838713519836285,64221.6043422186,201993.26482376433,266214.86916598293,1914.0
263,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,8.83057810756492,64162.49288590995,201993.26482376433,266155.7577096743,1914.0
138,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,9.602798825849188,69773.40598126217,201993.26482376433,271766.6708050265,3973.0
228,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,8.666879720592979,62973.069445951456,201993.26482376433,264966.3342697158,3737.0
53,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,9.570682402210803,69540.04982064417,201993.26482376433,271533.3146444085,2685.0
261,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,9.424597079716817,68478.6019345509,201993.26482376433,270471.86675831524,3522.0
67,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,9.770315593125037,70990.57356164964,201993.26482376433,272983.838385414,3973.0
408,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,9.912887119991185,72026.49040275044,201993.26482376433,274019.75522651477,2104.0
392,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,10.011777765376156,72745.02437116193,201993.26482376433,274738.2891949262,3725.0
149,72659.4477783325,0.0,72659.4477783325,72659.4477783325,0.0,9.242506843006973,67155.5443300346,201993.26482376433,269148.8091537989,2540.0
58,68351.95939857858,0.0,68351.95939857858,68351.95939857858,0.0,10.497229458875088,71750.6201770593,190018.44712804843,261769.06730510772,3058.0
459,68351.95939857858,0.0,68351.95939857858,68351.95939857858,0.0,10.145163309094825,69344.17905951985,190018.44712804843,259362.62618756827,3420.0
433,68351.95939857858,0.0,68351.95939857858,68351.95939857858,0.0,10.660308715530777,72865.2988500273,190018.44712804843,262883.7459780757,1777.0
157,68351.95939857858,0.0,68351.95939857858,68351.95939857858,0.0,10.69137178238239,73077.62099845098,190018.44712804843,263096.0681264994,3751.0
45,68351.95939857858,0.0,68351.95939857858,68351.95939857858,0.0,10.766791053260361,73593.12649254312,190018.44712804843,263611.57362059155,3411.0
385,73108.4129646075,0.0,73108.4129646075,67454.8092987705,5653.603665836999,15.684920014148968,105802.32884208874,187524.36985058198,293326.69869267073,1738.0
134,65937.44076322875,0.0,65937.44076322875,65937.44076322875,0.0,3.075774442772318,20280.869512135265,183306.0853217759,203586.95483391115,4327.0
8,65937.44076322875,0.0,65937.44076322875,65937.44076322875,0.0,3.3870564010634987,22333.38308068392,183306.0853217759,205639.4684024598,2513.0
323,65937.44076322875,0.0,65937.44076322875,65937.44076322875,0.0,2.9944186502357764,19744.43023702289,183306.0853217759,203050.5155587988,4327.0
279,65937.44076322875,0.0,65937.44076322875,65937.44076322875,0.0,3.041904268473831,20057.538250990594,183306.0853217759,203363.6235727665,3825.0
218,52614.11131259375,0.0,52614.11131259375,52614.11131259375,0.0,10.788422707851408,56762.327323820806,146267.2294490106,203029.55677283142,4378.0
158,52614.11131259375,0.0,52614.11131259375,52614.11131259375,0.0,10.710922762215509,56354.56824718009,146267.2294490106,202621.7976961907,3835.0
28,52614.11131259375,0.0,52614.11131259375,52614.11131259375,0.0,10.909954215584497,57401.75455140641,146267.2294490106,203668.984000417,3782.0
373,39443.685434907,0.0,39443.685434907,39443.685434907,0.0,12.365147268976463,48772.6979233807,109653.44550904144,158426.14343242213,4113.0
497,39443.685434907,0.0,39443.685434907,39443.685434907,0.0,12.627890750661345,49809.05504754577,109653.44550904144,159462.50055658724,4113.0
483,17583.1873875925,0.0,17583.1873875925,17583.1873875925,0.0,9.429174478732323,16579.49417698553,48881.26093750715,65460.75511449268,2902.0
78,17583.1873875925,0.0,17583.1873875925,17583.1873875925,0.0,9.567436543296846,16822.602955968872,48881.26093750715,65703.86389347602,3506.0
384,16143.362143039,0.0,16143.362143039,16143.362143039,0.0,16.538635330882904,26698.917949810235,44878.546757648415,71577.46470745865,3756.0
