nta2020,ntaname,geoid,geometry,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count,TotalPop,Food Insecure Population
QN0905,Woodhaven,36081000200,POINT (1023791.8741969899 191231.7353280268),-2162.59609306999,14.2,743.98%,0.56,5.64258011658,138.0,0,42376.0,6017.392
QN1001,South Ozone Park,36081009400,POINT (1034311.6361484292 185685.43863647146),551136.10054515,14.03,969.60%,0.55,6.33243241887,73.0,4,84427.0,11845.108099999998
QN1002,Ozone Park,36081004002,POINT (1026685.6568695498 185442.05956333506),-6307.32930436102,13.32,595.16%,0.52,5.37700970925,152.0,1,23496.0,3129.6672000000003
QN1003,Howard Beach-Lindenwood,36081006202,POINT (1027520.0690640154 179783.9077779244),778373.528126481,12.96,831.63%,0.54,6.56652083606,57.0,1,20653.0,2676.6288000000004
QN1101,Auburndale,36081109900,POINT (1043537.6348413647 214509.13362257907),896800.029996218,12.17,569.18%,0.6,6.45403505636,64.0,0,35763.0,4352.3571
QN1102,Bayside,36081109300,POINT (1048631.232059712 216892.20012869255),920642.058503727,12.25,512.52%,0.54,6.39872885381,69.0,0,35448.0,4342.38
QN1103,Douglaston-Little Neck,36081150702,POINT (1057136.5225627602 217618.47382279328),493759.051208256,10.68,497.37%,0.54,5.93571103192,115.0,1,25762.0,2751.3815999999997
QN1104,Oakland Gardens-Hollis Hills,36081129104,POINT (1052260.6115548469 208720.84194285402),573885.310129969,10.57,455.58%,0.56,5.99553465326,109.0,0,24020.0,2538.914
QN1201,Jamaica,36081020400,POINT (1040927.6007176507 195836.68119264152),-2931908.86381,20.44,1016.54%,0.63,2.10934996483,194.0,9,54760.0,11192.944000000001
QN1202,South Jamaica,36081019400,POINT (1042003.6985672944 192299.60562196095),-2561516.49399059,16.03,1347.54%,0.55,2.93347275092,187.0,7,29888.0,4791.0464
QN1203,Baisley Park,36081018200,POINT (1042521.8775611573 186918.48350121645),-495528.11682838,12.33,905.33%,0.51,5.19353472917,159.0,6,37153.0,4580.9649
QN1204,Springfield Gardens (North)-Rochdale Village,36081033401,POINT (1047480.5704181688 184671.1819383282),-731641.08231932,13.37,838.09%,0.49,4.84827144364,169.0,3,17458.0,2334.1346
QN1205,St. Albans,36081035200,POINT (1050188.1028767226 191931.391559455),-2169555.78538276,7.84,442.70%,0.5,2.64210409404,190.0,10,52497.0,4115.7648
QN1206,Hollis,36081047802,POINT (1050199.7632109635 198717.56183509598),-701490.969869714,13.64,914.77%,0.53,5.0551067521,165.0,6,22547.0,3075.4107999999997
QN1301,Glen Oaks-Floral Park-New Hyde Park,36081155101,POINT (1064339.5336737444 211178.6982068088),552168.537574376,11.7,387.24%,0.62,5.89707362936,122.0,0,14602.0,1708.434
QN1302,Bellerose,36081161700,POINT (1059992.7181708396 207354.3410209712),680690.180248387,12.66,708.89%,0.57,6.34967568957,70.0,1,27349.0,3462.3833999999997
QN1303,Queens Village,36081049202,POINT (1055839.2013107247 200270.12487555516),-1364241.41008293,12.02,941.09%,0.54,4.06198747578,182.0,6,52747.0,6340.1894
QN1304,Cambria Heights,36081059000,POINT (1057582.2464692646 192354.55818248985),-795601.595177419,6.72,546.28%,0.54,4.4364655044,179.0,1,19516.0,1311.4751999999999
QN1305,Laurelton,36081032800,POINT (1055119.3105572462 185633.16298222428),-1208880.82001737,5.81,476.25%,0.48,3.81922687671,183.0,5,27137.0,1576.6597
QN1306,Springfield Gardens (South)-Brookville,36081065402,POINT (1050426.5462154008 179883.14300260824),-151097.67421373,9.59,705.27%,0.46,5.58444543981,142.0,0,21599.0,2071.3441
QN1307,Rosedale,36081065401,POINT (1057591.1482988042 179496.25604711054),78887.370869814,9.24,716.03%,0.48,5.65402150705,137.0,2,14292.0,1320.5808
QN1401,Far Rockaway-Bayswater,36081099801,POINT (1051852.7469518052 158585.10727401238),486153.45877199,19.74,993.35%,0.58,6.11615671693,93.0,6,38081.0,7517.189399999999
QN1402,Rockaway Beach-Arverne-Edgemere,36081097204,POINT (1040821.7183740992 154866.4127464541),349017.48683823,21.03,925.48%,0.54,6.0303443872,103.0,2,29679.0,6241.4937
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,36081092800,POINT (1022985.7981726257 149955.20029947755),728457.249977604,13.64,691.39%,0.51,6.61739123024,55.0,0,20529.0,2800.1556
SI0101,St. George-New Brighton,36085000300,POINT (960512.7293223082 173253.56204555364),146216.825929215,20.18,846.60%,0.49,5.99819322539,108.0,2,18039.0,3640.2702
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,36085001700,POINT (962366.0130031548 167392.68196960853),-1823011.16477151,19.32,509.83%,0.51,3.17661075829,186.0,8,13144.0,2539.4208000000003
SI0103,Rosebank-Shore Acres-Park Hill,36085000600,POINT (964045.8017828226 162138.34456865126),183229.031435855,14.15,537.35%,0.5,5.55022041654,144.0,0,13113.0,1855.4895000000001
SI0104,West New Brighton-Silver Lake-Grymes Hill,36085009701,POINT (956130.0581121922 168113.91633827405),16143.362143039,12.64,507.67%,0.48,5.44630899646,150.0,1,29175.0,3687.7200000000003
SI0105,Westerleigh-Castleton Corners,36085016901,POINT (948492.7575287587 164092.70514334313),637569.289046739,10.31,483.81%,0.47,6.06970911336,98.0,0,29690.0,3061.039
SI0106,Port Richmond,36085020702,POINT (947285.8020565322 170227.0867814771),-720808.945556749,17.95,875.56%,0.52,4.94579796204,168.0,3,13489.0,2421.2754999999997
SI0107,Mariner's Harbor-Arlington-Graniteville,36085022300,POINT (937794.8905142132 169332.122625243),785018.737638609,14.8,834.69%,0.48,6.74812670227,48.0,1,29670.0,4391.160000000001
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,36085005000,POINT (961678.3893333349 155529.36392424486),782796.386832488,13.42,572.99%,0.48,6.23862767965,82.0,2,25313.0,3397.0045999999998
SI0202,New Dorp-Midland Beach,36085011201,POINT (956028.7492547673 148531.10292134006),739392.566019714,12.13,620.72%,0.54,6.32479629932,76.0,1,20984.0,2545.3592000000003
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,36085017300,POINT (948624.1125101482 154129.18589537672),451452.129284963,12.58,518.93%,0.56,5.80431979609,128.0,1,16067.0,2021.2286
SI0204,New Springville-Willowbrook-Bulls Head-Travis,36085027301,POINT (935530.5047329314 159277.84217408177),1022020.12315557,12.01,456.02%,0.48,6.41326306292,65.0,0,33965.0,4079.1965
SI0301,Oakwood-Richmondtown,36085012805,POINT (950187.8142856951 144051.3912047569),529757.683825265,12.84,700.09%,0.51,6.20365428506,89.0,0,21454.0,2754.6935999999996
SI0302,Great Kills-Eltingville,36085014608,POINT (941182.6447296155 139786.65114480926),1091230.79111141,10.42,533.10%,0.45,6.5179510219,62.0,1,56954.0,5934.6068000000005
SI0303,Arden Heights-Rossville,36085017007,POINT (929531.785051678 140680.3094509498),600174.677844235,8.97,476.47%,0.46,6.04297510641,100.0,0,5351.0,479.98470000000003
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,36085017009,POINT (929195.1521514927 131846.05201889153),620825.608054139,8.74,350.04%,0.47,5.87696908779,123.0,2,32524.0,2842.5976
SI0305,Tottenville-Charleston,36085024401,POINT (918783.1056517168 130506.98951365854),259814.070271157,8.28,158.11%,0.45,5.54171155493,145.0,0,15557.0,1288.1196
