nta2020,ntaname,geoid,geometry,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count,TotalPop,Food Insecure Population
BK1302,Coney Island-Sea Gate,36047032600,POINT (987592.9402083197 149480.8712914796),1846332.33955989,25.94,1255.40%,0.62,8.01668725374,7.0,3,44950.0,11660.03
BK1303,Brighton Beach,36047036001,POINT (995168.6008550077 150251.7177277702),960517.03151223,22.27,509.72%,0.72,6.56392284567,58.0,3,29349.0,6536.0223000000005
BK1401,Flatbush,36047050801,POINT (996353.4299362036 172691.3255609458),597003.07697042,15.16,531.62%,0.49,5.92647907238,117.0,6,60173.0,9122.2268
BK1402,Flatbush (West)-Ditmas Park-Parkville,36047046000,POINT (993633.8212255494 171181.8652525437),-704873.87763811,16.52,623.87%,0.57,4.3192348345,181.0,5,44191.0,7300.3532
BK1403,Midwood,36047053000,POINT (996577.9391261471 165296.67243265104),1141027.8973394,17.83,554.08%,0.6,6.45979463106,63.0,0,49140.0,8761.661999999998
BK1501,Gravesend (East)-Homecrest,36047038800,POINT (993728.1361312963 157539.8943681128),1577147.81567521,18.32,806.11%,0.59,7.27397856049,24.0,1,51219.0,9383.3208
BK1502,Madison,36047054800,POINT (998651.5086700899 159666.94561411807),910007.411086672,16.34,538.03%,0.59,6.29220932244,79.0,1,40527.0,6622.1118
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,36047057000,POINT (1000496.8594967268 153614.7487204837),1804791.86975866,15.53,538.41%,0.58,7.47224281977,19.0,1,56514.0,8776.6242
BK1601,Ocean Hill,36047030300,POINT (1008202.2683645475 185805.42670117295),-2283447.2240249,20.09,831.51%,0.46,2.64299034109,189.0,8,33142.0,6658.2278
BK1602,Brownsville,36047089400,POINT (1009351.2161797946 181219.57969042016),478463.71579005,27.97,1395.84%,0.52,6.25906008173,81.0,7,58455.0,16349.8635
BK1701,East Flatbush-Erasmus,36047079002,POINT (998086.3153803328 175564.94685314066),-258687.52758611,15.51,818.86%,0.48,5.29301003879,156.0,8,37809.0,5864.175899999999
BK1702,East Flatbush-Farragut,36047078000,POINT (1001557.8555173359 172140.7467472599),-311007.767624975,13.38,966.12%,0.56,5.52621102944,148.0,5,31755.0,4248.819
BK1703,East Flatbush-Rugby,36047081400,POINT (1003742.4996093765 176660.1695337742),-985286.68582102,14.25,863.97%,0.54,4.51252755833,177.0,9,38375.0,5468.437499999999
BK1704,East Flatbush-Remsen Village,36047088200,POINT (1006677.6121488758 178363.8898296959),-979114.69227613,18.82,1183.02%,0.54,4.73390906028,174.0,6,38455.0,7237.231000000001
BK1801,Flatlands,36047065000,POINT (1003654.1047309061 167452.83375456827),-2330039.34529109,12.64,792.73%,0.52,2.34484180104,192.0,8,72552.0,9170.572800000002
BK1802,Marine Park-Mill Basin-Bergen Beach,36047063600,POINT (1006866.8589598327 163339.07770350503),-200353.596394514,9.83,386.15%,0.54,4.831323691,170.0,1,45457.0,4468.4231
BK1803,Canarsie,36047095000,POINT (1011597.6709805155 172225.25490056534),-3437224.58032827,12.2,755.21%,0.52,1.78848947571,196.0,4,81814.0,9981.307999999999
BX0101,Mott Haven-Port Morris,36005002300,POINT (1007160.0212810979 233490.86207328367),611663.47133657,32.65,1442.92%,0.53,6.32951890259,74.0,7,52295.0,17074.3175
BX0102,Melrose,36005006500,POINT (1008372.1417457126 237403.19139001885),-1183933.94646053,30.77,1521.43%,0.51,4.47628077367,178.0,7,41722.0,12837.8594
BX0201,Hunts Point,36005011702,POINT (1016090.7231478275 234716.08674032046),-405519.218561253,27.03,1183.40%,0.56,5.66840365896,136.0,2,8004.0,2163.4811999999997
BX0202,Longwood,36005008700,POINT (1012880.0577675204 238394.81816058204),-797194.90866576,29.78,1472.33%,0.55,4.94789207872,167.0,6,38395.0,11434.031
BX0301,Morrisania,36005013300,POINT (1010612.7371638357 240697.27135534806),-2098856.93601668,29.98,1540.20%,0.51,3.43217077436,185.0,4,26353.0,7900.629400000001
BX0302,Claremont Village-Claremont (East),36005014702,POINT (1010942.5162990158 244443.70442055265),32152.70121665,33.36,1423.32%,0.5,6.22782931459,84.0,2,24886.0,8301.9696
BX0303,Crotona Park East,36005012101,POINT (1015050.9114505938 242467.3798009255),-333492.64867191,27.24,1308.90%,0.55,5.62879423578,141.0,3,27546.0,7503.5304
BX0401,Concourse-Concourse Village,36005017500,POINT (1005912.9229922534 240493.29620693304),-102142.62426294,26.29,1053.82%,0.57,5.13309591628,161.0,3,62270.0,16370.782999999998
BX0402,Highbridge,36005018900,POINT (1004238.8413449641 244175.26513096597),839986.799227597,25.85,845.52%,0.52,6.60961794332,56.0,5,31902.0,8246.667
BX0403,Mount Eden-Claremont (West),36005017902,POINT (1007927.4015754139 245498.38091074978),1696696.57636403,27.78,1371.32%,0.6,7.9513129831,9.0,3,49487.0,13747.488599999999
BX0501,University Heights (South)-Morris Heights,36005021501,POINT (1007454.0785037057 249641.55559501148),1967725.99158661,28.18,1167.44%,0.58,8.0248369809,6.0,3,52870.0,14898.766
BX0502,Mount Hope,36005023301,POINT (1010694.0551947891 248920.61311219883),922439.79933915,27.9,1444.53%,0.62,7.12218616838,30.0,4,46944.0,13097.375999999998
BX0503,Fordham Heights,36005023900,POINT (1012153.2117883952 252153.26137917713),623158.3915258,28.65,1378.09%,0.66,6.88989591775,39.0,3,27741.0,7947.7964999999995
BX0601,West Farms,36005035900,POINT (1017832.7519247258 245794.15958056552),954192.677655184,34.94,1809.21%,0.55,7.90384229505,10.0,2,19468.0,6802.1192
BX0602,Tremont,36005036501,POINT (1014198.2003299906 247852.66760051972),-113652.81465869,28.96,1214.11%,0.53,5.71196328534,134.0,3,30168.0,8736.6528
