pantry_id,lbs_supplied,distance_miles,transport_cost,purchase_cost,total_cost,population
131,148033.499163,8.39295128706171,124243.79473283494,81418.42453965,205662.21927248494,6051.0
338,112634.94914898,3.9645062587860616,44654.196085918105,61949.222031939,106603.41811785712,7798.0
290,112634.94914898,4.1507527828163475,46751.982862250654,61949.222031939,108701.20489418965,7287.0
168,110115.93813084999,3.9259415306683207,43230.873469640734,60563.7659719675,103794.63944160823,6134.0
186,110115.93813084999,4.778953244141719,52623.89197621344,60563.7659719675,113187.65794818093,5654.0
119,87380.49590522428,1.8105682139153492,15820.83484021594,48059.27274787336,63880.1075880893,6057.0
271,87380.49590522428,1.935561427178852,16913.031736191173,48059.27274787336,64972.30448406453,6614.0
166,87380.49590522428,2.029475651213316,17733.658883059754,48059.27274787336,65792.9316309331,6057.0
160,87380.49590522428,2.147619867807439,18766.00890649262,48059.27274787336,66825.28165436597,6476.0
225,81025.57646199832,15.8374519552884,128323.8674366445,44564.06705409908,172887.9344907436,7195.0
347,81025.57646199832,16.24462753597245,131623.03105126193,44564.06705409908,176187.09810536102,5391.0
5,81025.57646199832,15.834184831748232,128297.39537982305,44564.06705409908,172861.46243392213,7195.0
22,81025.57646199832,15.697243694465108,127187.82192085037,44564.06705409908,171751.88897494946,7195.0
248,68351.95939857858,10.268412686489688,70186.61270347923,37593.57766921822,107780.19037269744,5358.0
311,65937.44076322875,3.1837995662222185,20993.159529977092,36265.592419775814,57258.75194975291,5452.0
440,65937.44076322875,3.1795343312957813,20965.03566244677,36265.592419775814,57230.62808222258,5452.0
455,65937.44076322875,3.010971514240768,19853.575586001978,36265.592419775814,56119.16800577779,6861.0
275,65937.44076322875,3.5013928133062215,23087.288121617385,36265.592419775814,59352.88054139319,7796.0
407,59804.828708053334,12.527331855928255,74919.49358127292,32892.65578942934,107812.14937070226,5574.0
80,59804.828708053334,12.972139654905282,77579.65900385566,32892.65578942934,110472.314793285,6156.0
417,59804.828708053334,12.848136767504744,76838.06185982634,32892.65578942934,109730.71764925568,6156.0
81,56835.322942975996,11.17758692822029,63528.17627885873,31259.4276186368,94787.60389749553,6416.0
139,56835.322942975996,11.423607412387764,64926.44164568329,31259.4276186368,96185.86926432009,6403.0
308,56835.322942975996,11.149147012434684,63366.53709904412,31259.4276186368,94625.96471768092,6416.0
2,52614.11131259375,10.961004697787205,57670.3521267239,28937.761221926565,86608.11334865046,6446.0
306,52614.11131259375,10.629623392150526,55926.818836555816,28937.761221926565,84864.58005848237,5620.0
129,36656.328613092,4.501544601135801,16501.00981657241,20160.980737200603,36661.99055377301,9722.0
181,16076.350608325,1.9942604534267099,3206.0430253604977,8841.99283457875,12048.03585993925,7360.0
