pantry_id,lbs_supplied,distance_miles,transport_cost,purchase_cost,total_cost,population
152,2090950.72621075,8.443343237951295,1765461.4675040885,1150022.8994159126,2915484.366920001,6905.0
282,1606997.59775469,5.85986308521184,941678.5901106815,883848.6787650796,1825527.2688757612,9120.0
253,1488620.7768,4.7932455563853456,713532.4923539503,818741.4272400001,1532273.9195939503,11688.0
416,1444845.00693503,4.568424185803583,660066.4874419536,794664.7538142665,1454731.2412562203,5892.0
380,1091230.79111141,23.916922622597205,2609888.2394407126,600176.9351112755,3210065.1745519876,6559.0
142,1011421.07761282,8.138429060558039,823137.8690505102,556281.592687051,1379419.4617375613,6138.0
309,891034.4533570634,3.796086624433274,338244.3970297962,490068.9493463849,828313.3463761811,9715.0
130,891034.4533570634,3.553639343695498,316641.5090037872,490068.9493463849,806710.458350172,16231.0
509,891034.4533570634,3.521069091727549,313739.3873379908,490068.9493463849,803808.3366843757,16231.0
295,850450.3408407333,4.177173263192887,355247.84254331887,467747.6874624033,822995.5300057222,6233.0
499,850450.3408407333,4.426551861186412,376456.2539095166,467747.6874624033,844203.9413719199,6605.0
27,778373.528126481,10.776570280384288,838819.7030245699,428105.4404695646,1266925.1434941345,7279.0
222,739460.34151964,4.03057176197827,298044.7971631868,406703.187835802,704747.9849989888,9704.0
127,739460.34151964,3.8896297250624783,287622.69248796435,406703.187835802,694325.8803237663,9704.0
252,706887.494602865,4.806212926267011,339745.18139767915,388788.12203157577,728533.3034292549,8310.0
250,706887.494602865,4.278594990220689,302448.52930574724,388788.12203157577,691236.651337323,9327.0
1,695135.990222095,0.9449085929544269,65683.99704327421,382324.7946221523,448008.7916654265,5650.0
246,695135.990222095,1.8221560055230062,126664.62192383723,382324.7946221523,508989.4165459895,6882.0
169,695135.990222095,1.5940548002753845,110808.48620577135,382324.7946221523,493133.2808279236,5587.0
270,685490.71897698,3.674234673413098,251865.37679680937,377019.89543733903,628885.2722341483,5937.0
498,680690.180248387,10.035812712081691,683127.916392594,374379.5991366129,1057507.515529207,7167.0
345,657872.8785292685,5.056516542447491,332654.5093110795,361830.0831910977,694484.5925021772,5267.0
405,655908.6638622034,3.276811701480695,214928.9184846236,360749.7651242119,575678.6836088354,6564.0
171,655908.6638622034,3.1875218037625657,209072.3167337545,360749.7651242119,569822.0818579664,5748.0
265,652738.48003492,13.455335109843167,878281.4987959523,359006.1640192061,1237287.6628151583,8178.0
75,615444.1131866301,17.176685378207377,1057128.9900076597,338494.26225264656,1395623.252260306,6947.0
486,615444.1131866301,17.636893748261336,1085452.243226552,338494.26225264656,1423946.5054791984,5748.0
391,615444.1131866301,17.310437149537947,1065360.6640370279,338494.26225264656,1403854.9262896744,6947.0
319,574746.89821195,3.8003652360592484,218424.81314975783,316110.79401657253,534535.6071663303,5655.0
312,574746.89821195,3.5535071461283483,204236.7210011267,316110.79401657253,520347.51501769916,7824.0
472,565565.5254546766,2.35901806278051,133417.92902335324,311061.03900007217,444478.9680234254,5388.0
310,533062.36927377,4.047823223306773,215774.22378172973,293184.30310057354,508958.52688230324,7574.0
124,519331.168772581,8.129902290302448,422211.16584296536,285632.14282491955,707843.3086678849,6330.0
490,405599.10658487596,4.723282457765941,191575.91450178827,223079.5086216818,414655.42312347004,6563.0
10,320703.568211885,3.6153584768717812,115945.83638978661,176386.96251653676,292332.7989063234,6890.0
13,320703.568211885,3.5355909151582883,113387.66222287872,176386.96251653676,289774.6247394155,5319.0
132,320703.568211885,3.5413633521736294,113572.78633768854,176386.96251653676,289959.7488542253,6647.0
233,320703.568211885,3.460754369803454,110987.62751008412,176386.96251653676,287374.59002662083,6647.0
386,310412.8040270695,27.462621612653894,852474.9380718297,170727.04221488824,1023201.980286718,6690.0
227,310412.8040270695,26.36625938646904,818442.4507858896,170727.04221488824,989169.4930007779,6191.0
193,307623.545233825,6.828035117499117,210046.43698261352,169192.94987860374,379239.3868612173,6974.0
315,307548.737685778,8.207580956001543,252423.11624721056,169151.8057271779,421574.9219743885,7871.0
505,276418.98993234866,3.979505380277386,110001.08576466222,152030.44446279178,262031.530227454,6401.0
199,276418.98993234866,3.8177990186073067,105531.21484881437,152030.44446279178,257561.65931160614,6087.0
122,276418.98993234866,3.8902797466692562,107534.71981285891,152030.44446279178,259565.1642756507,6087.0
411,270909.6496435925,1.8191610858761202,49282.8292419957,149000.3073039759,198283.13654597156,6243.0
113,270909.6496435925,1.7630065632412788,47761.54903670489,149000.3073039759,196761.85634068077,6243.0
0,269462.36483573,3.6667055833327606,98803.91576412207,148204.30065965152,247008.21642377359,5874.0
