weight_unmet,transported_lbs,unmet_lbs,pct_supply_used,pct_demand_met,avg_distance,total_lb_miles
1,4157465.5809897687,92498448.36748219,59.511228712857175,4.301304918813501,0.5490300834172069,2282573.6747349794
10,6986018.7243816145,89669895.22409032,100.00000000000004,7.227719897311113,0.9818730479021766,6859383.497610251
25,6986018.724381614,89669895.22409032,100.00000000000003,7.227719897311112,0.9818730479021767,6859383.497610251
50,6986018.724381614,89669895.22409032,100.00000000000003,7.227719897311112,0.9818730479021766,6859383.4976102505
100,6986018.7243816145,89669895.22409032,100.00000000000004,7.227719897311113,0.9818730479021766,6859383.497610251
200,6986018.724381614,89669895.22409032,100.00000000000003,7.227719897311112,0.9818730479021767,6859383.497610251
500,6986018.7243816145,89669895.22409032,100.00000000000004,7.227719897311113,0.9818730479021766,6859383.497610251
