from_pantry,to_pantry,lbs,distance_miles
4,133,166579.92222104908,5.915916991723999
4,509,14988.08113535581,6.572050309129622
6,21,244367.66308469354,4.7633584448623765
6,439,81399.98844975088,5.373672947351793
12,15,89079.75160856667,1.764998950063674
16,345,216955.57853827602,5.672927206736804
19,246,5821.354547653,5.271142683193287
23,271,58653.483666203334,7.503450551649611
29,152,285430.90300311224,2.9093288364298915
30,150,33815.257970006875,4.349144623033484
30,265,75661.04045455091,4.034842145602971
31,282,3924.5541044600163,7.937196347168236
32,299,291254.9181613863,2.522965366918338
36,150,32335.94094826375,3.2893309815820793
37,265,163185.78204602166,4.856511285936414
38,77,79496.66465946661,3.3115147121981208
41,150,32381.379497574875,5.1582392963560695
41,220,70999.57384039345,4.140077557843878
41,407,59804.828708053334,2.911880076457565
42,77,79496.66465946667,2.721869967715552
43,280,171935.37293803084,7.875214864682978
44,35,291254.9181613863,3.23265017330941
46,455,8073.941421282019,7.2447397613396936
47,35,11242.011762594571,3.9876314149967773
47,304,280012.9063987917,4.1423452598683435
48,95,62201.553524995004,1.2746874867433224
50,152,51305.470929712494,4.396111278435193
50,200,120629.90200831834,7.940509179874366
51,124,167337.47534711816,7.601614985920122
51,253,1339881.374370201,7.97546033072852
51,286,201993.72988660168,7.96111953446684
51,289,118194.13638521566,7.725244873049005
51,324,201993.72988660168,7.850071995414047
51,438,201993.72988660168,7.850072002578221
55,251,30404.02955319031,7.266585976397692
55,252,52930.5406614994,7.597302581406722
55,255,164059.92692143083,7.291691030943949
55,274,253139.6785299975,7.409759917255451
56,124,171935.37293803084,7.379571613087015
59,299,859306.1450820675,4.3720732967223634
61,150,140974.775527622,2.560615616047139
63,39,320172.34383741004,5.3641446612977015
63,75,218961.45740724745,6.420962263508844
63,213,320172.34383741004,5.277138044446304
64,282,3924.5541044600163,7.307439074762601
65,77,32335.94094826375,2.563226335150756
66,81,56835.322942975996,0.5330140585373938
66,308,27543.531919599,0.5423799889420223
68,312,285430.9030031125,7.877133660992148
69,253,148739.40242979917,7.50857691498176
69,280,69324.43107860585,7.944610503535132
69,310,533062.36927377,7.691641357076048
70,150,140974.775527622,2.665164742597012
71,282,500534.17566611804,7.353891351254598
72,34,66792.68555164245,3.237973777420798
72,84,43778.985181785465,2.215146441012622
72,306,52614.11131259375,0.7363021735110995
76,455,8073.941421282019,7.553140356974882
79,3,677990.8955753597,4.1178970615558015
79,220,121510.42079865444,4.8750498631032855
79,417,59804.828708053334,3.6408813730306187
82,150,32335.94094826375,3.069878074447756
83,99,37298.95930340832,2.1510607716469194
83,143,67164.57188013959,2.199760993030104
83,220,58722.25086247375,4.08541650556765
85,77,25783.955808377606,4.168921514920335
85,84,115918.34407129353,2.020056798911973
85,158,21483.482166350543,1.6547734299450323
86,143,32335.94094826375,0.5625391042261461
87,325,3924.5541044600163,4.690482297140039
88,299,143458.22534159874,2.4776500987928975
88,391,147796.69281978754,4.103465383456259
89,34,94154.28637638806,3.0586718240615296
89,67,68734.89367387249,1.6089475592691396
89,138,72659.4477783325,1.752850975024854
89,248,36298.16847058573,0.12912668336550534
89,325,13584.106703933692,4.905865522140299
91,57,84340.86798409533,3.138898191016756
91,150,56633.90754352667,2.5843616978275246
92,152,171935.37293803084,4.532205515028542
93,152,84378.854862575,4.525528405702788
94,265,109476.29842455778,4.3513316710462355
96,220,32335.94094826375,2.385352167895179
97,282,3924.5541044600163,7.5080672754736515
102,99,62201.553524995004,1.4755223826160193
103,193,307623.545233825,7.914574023607874
103,285,307623.545233825,7.8557539083442816
103,313,135879.11231452506,7.851774536845123
106,127,16884.603080533387,2.751954476319226
106,222,94815.20835158986,2.908911414732941
106,405,21166.00667883674,2.3903937443835
107,114,61153.60404123161,2.0444818776809686
107,173,71712.21406972832,2.555707486730665
115,114,22837.39493176341,2.214880681425481
115,405,110028.42317919657,2.3416625829001636
117,396,111164.21622397,3.2160719578525607
118,127,34047.54142098,1.8209576808997705
120,127,34047.54142098,1.29301721332792
121,309,169133.42092293274,2.6116612701747877
123,132,121090.28551587599,1.6237049866243862
126,173,68003.6248861025,1.1457905430850555
135,391,236840.44657546992,0.897565729117931
135,486,615444.1131866301,1.2897412071770369
136,2,52614.11131259375,0.5909182254356298
136,28,26882.55334687292,0.1652212251201917
137,152,171935.37293803084,4.6012671269798
144,312,285430.9030031125,7.69328057408625
145,282,500534.17566611804,6.466310638431095
146,220,62201.553524995004,3.1641518227007053
148,220,32335.94094826375,2.650692122078355
151,282,35288.95594359333,6.54001635756762
153,304,291254.9181613863,3.7640778778611566
155,28,25731.55796572083,1.0902433741163269
